disegno_id;tipologia;dimensione;colore;posizione;orientamento;accuratezza;alim;io;sport;assoc
404;-;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
405;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
406;+;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
407;+;S;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
408;+;S;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
409;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
410;-;N;R-L;P-L;S;A-ND;TRUE;FALSE;FALSE;==
411;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
412;-;S;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
413;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
414;-;L;NR-D;C;S;A-ND;FALSE;FALSE;FALSE;==
415;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
416;+;L;NR-L;C;S;NA-D;TRUE;FALSE;FALSE;==
417;+;N;NR-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
418;-;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
419;-;N;R-L;C;S;A-ND;FALSE;TRUE;FALSE;==
420;+;N;R-D;C;S;A-ND;FALSE;FALSE;TRUE;==
421;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
422;-;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
423;+;N;R-D;C;S;A-ND;FALSE;FALSE;TRUE;==
424;+-;N;R-L;C;S;A-ND;TRUE;TRUE;FALSE;++
425;-;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
426;+-;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
427;+;N;NR-D;C;S;A-ND;FALSE;TRUE;FALSE;==
428;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
429;+;N;NR-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
430;+-;L;NR-D;C;S;A-ND;FALSE;FALSE;FALSE;==
431;-;S;NR-D;C;S;A-ND;FALSE;FALSE;FALSE;==
432;-;L;NR-D;P-L;S;A-ND;TRUE;FALSE;FALSE;==
433;+;S;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
434;+;N;NR-D;P-L;S;NA-D;FALSE;TRUE;FALSE;==
435;+-;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
436;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
437;-;L;R-L;C;S;NA-ND;FALSE;FALSE;FALSE;==
438;+;L;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
439;-;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
440;+;L;NR-D;C;S;A-ND;FALSE;FALSE;FALSE;==
441;+-;L;NR-D;C;S;NA-ND;FALSE;FALSE;FALSE;==
442;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
443;+-;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
444;+;N;R-L;P-L;S;A-ND;FALSE;TRUE;FALSE;==
446;-;L;NR-L;C;S;A-ND;FALSE;FALSE;FALSE;==
447;+;N;R-L;P-L;S;A-D;FALSE;TRUE;FALSE;==
448;+-;L;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
449;+;SL;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
450;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
451;+;N;NR-L;C;S;A-ND;FALSE;TRUE;FALSE;==
452;+;L;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
453;+;L;R-L;C;S;A-D;TRUE;FALSE;FALSE;==
454;+-;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
455;+-;L;NR-L;C;S;NA-D;FALSE;FALSE;FALSE;==
456;+-;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
457;+;S;R-L;C;S;A-ND;FALSE;FALSE;TRUE;==
458;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
459;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
460;+;N;NR-D;C;S;A-ND;FALSE;FALSE;TRUE;==
461;+;S;R-L;P-LB;S;A-ND;TRUE;FALSE;FALSE;==
462;+;L;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
463;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
464;+;S;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
465;+;N;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
466;+;L;NR-D;C;S;A-D;FALSE;FALSE;FALSE;==
467;+-;L;NR-L;C;S;AD;TRUE;FALSE;FALSE;==
468;+;L;NR-L;C;S;A-ND;FALSE;FALSE;TRUE;==
469;-;N;NR-L;P-LB;S;A-ND;TRUE;FALSE;FALSE;==
470;+;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
471;+-;S;NR-D;C;S;A-ND;FALSE;TRUE;FALSE;==
472;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
473;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
474;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
475;+;N;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
476;+-;L;NR-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
477;+;N;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
478;+-;S;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
479;+;L;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
480;+;L;R-D;C;S;A-ND;FALSE;FALSE;TRUE;==
481;+;L;NR-L;C;S;NA-D;FALSE;TRUE;FALSE;==
482;+;S;R-L;C;S;A-ND;TRUE;TRUE;FALSE;--
483;+;N;R-D;C;S;NA-ND;TRUE;FALSE;FALSE;==
484;+;N;NR-D;P-LB;S;A-ND;TRUE;FALSE;FALSE;==
485;+;L;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
486;+;N;R-L;C;S;A-ND;FALSE;FALSE;TRUE;==
487;+;S;R-L;C;S;A-ND;FALSE;FALSE;TRUE;==
488;+;S;R-L;C;S;NA-ND;TRUE;FALSE;FALSE;==
490;+;L;NR-L;C;S;A-ND;FALSE;TRUE;FALSE;==
491;-;N;NR-D;P-RB;S;A-ND;TRUE;FALSE;FALSE;==
492;+;S;R-L;C;D;A-ND;TRUE;FALSE;FALSE;==
493;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
494;+;L;R-D;C;S;A-ND;TRUE;FALSE;FALSE;==
495;+;N;R-D;P-LT;S;A-ND;TRUE;FALSE;FALSE;==
496;+;N;R-L;C;S;A-ND;FALSE;FALSE;FALSE;==
497;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
498;-;L;R-D;C;S;A-ND;FALSE;FALSE;FALSE;==
499;+;L;R-L;C;S;A-ND;TRUE;FALSE;FALSE;==
500;+;N;NR-D;C;S;NA-D;TRUE;TRUE;FALSE;--
502;+;L;NR-L;C;S;NA-ND;FALSE;TRUE;FALSE;==
503;-;L;NR-D;C;S;A-ND;TRUE;FALSE;FALSE;==
504;+-;L;NR-L;C;S;A-ND;TRUE;FALSE;FALSE;==
505;+;N;R-L;C;S;A-D;TRUE;TRUE;FALSE;--
506;+;S;R-L;P-LT;S;A-ND;TRUE;FALSE;FALSE;==
507;+;L;NR-L;C;S;A-ND;FALSE;TRUE;FALSE;==
508;+;L;R-L;C;S;A-D;TRUE;TRUE;FALSE;++
509;+;L;NR-D;C;S;NA-ND;FALSE;TRUE;FALSE;==
510;+;L;NR-L;C;S;NA-ND;FALSE;TRUE;FALSE;==
